id,名前(仮),ティア,ティア名,レイヤー,レアリティ,モチーフ,メインカラー,生成プロンプト(英語)
mon_14,（仮）クリアガリ,2,中・個性的,2,uncommon,進化カエル＋繰り上がり,鮮やかグリーン,"evolved frog creature mid-leap with a trail of glowing number 9 energy orbs bursting behind it as it jumps over an invisible wall, dynamic pose, bright vivid green with golden accents, energetic expression, medium-detail Japanese RPG game style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_15,（仮）ハッチー,2,中・個性的,2,uncommon,ハチ竜＋8本針,琥珀ブラック,"bee-dragon hybrid with 8 distinct stingers arranged in a radial pattern, armored amber and black body, iridescent wings, slightly intimidating but not scary, glowing energy orbs floating around the stingers, medium-detail game illustration, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_16,（仮）シチキツ,2,中・個性的,2,uncommon,キツネ妖怪＋7変化,オレンジ紫,"cunning fox yokai with flame effects shaped like the numeral 7 and 6, multiple layered tails, playful trickster expression, warm orange and deep purple color palette, mystical Japanese yokai art style with medium detail, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_17,（仮）クリオニ,2,中・個性的,2,uncommon,小鬼＋数字棍棒,赤ティール,"small red oni demon with glowing runic number markings carved on its club, mischievous grin but with kind eyes, compact powerful build, red and teal color contrast, cartoonish but with personality, medium-detail Japanese yokai game style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_18,（仮）ヒミツガメ,2,中・個性的,2,uncommon,カメ長老＋秘密の10,深青緑,"ancient turtle sage with a large glowing kanji for 10 on its dark shell, long white beard, wise knowing eyes that seem to hide secrets, dark blue-green and moonlight palette, elder mystique, medium-detail Japanese game illustration, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_19,（仮）サガリムー,2,中・個性的,2,uncommon,幽霊＋繰り下がり,薄紫白,"translucent ghost creature with glowing orbs numbered 11 and 12 floating around it as it descends and fades, wispy trailing form, pale lavender and white with soft glow, melancholy yet gentle expression, medium-detail Japanese game ghost illustration style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_20,（仮）ムラサメ,2,中・個性的,2,rare,古代サメ＋紫鱗,ディープパープル,"ancient shark with gleaming deep violet scales, mysterious and powerful aura, surrounded by dark swirling deep-sea currents, glowing purple energy traces along fins and body, piercing cold eyes, compact powerful form, medium-to-high detail Japanese RPG sea creature style, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_21,（仮）アオホウオウ,3,強・カッコいい,3,rare,青炎鳳凰＋不死鳥,アズールコールドブルー,"majestic phoenix rising with cold azure blue flames that look icy yet radiant, wide dramatic wing spread, fierce proud gaze, sleek beautiful feathers glowing electric teal and deep blue, ice-blue embers trailing from wing tips, high-detail Japanese RPG phoenix illustration, dynamic pose, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_22,（仮）トリデンス,3,強・カッコいい,3,rare,深海魚＋3尾,深海ネイビー電気ブルー,"ancient deep sea fish creature with three powerful tails fanned out symmetrically, bioluminescent markings, deep navy and electric blue palette, dramatic underwater lighting effect, streamlined imposing silhouette, high-detail Japanese RPG monster art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_23,（仮）トリミナス,3,強・カッコいい,3,rare,引力の海獣,パープルネイビー,"powerful aquatic predator with three vortex gravity lines emanating from its body pulling inward, dark purple and navy blue palette, sleek dangerous form, dramatic whirlpool energy effects, high-detail Japanese RPG sea creature art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_24,（仮）ミックスリオン,3,強・カッコいい,3,rare,獅子王＋プラスマイナス,ゴールドダーク,"armored lion king with plus (+) and minus (−) symbols decoratively woven into its mane like battle crest markings, powerful regal stance, golden armor and dark accents, commanding presence, battle-worn but magnificent, high-detail Japanese RPG lion creature illustration, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_25,（仮）カタチゴン,3,強・カッコいい,3,rare,幾何学精霊,プリズム虹,"ethereal geometric spirit simultaneously displaying triangle, square, and circle morphing fluidly, prismatic rainbow light effects, abstract powerful form, each shape glowing in a different color, otherworldly geometry embodied, high-detail Japanese RPG abstract spirit art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_26,（仮）マンモリウス,3,強・カッコいい,3,rare,マンモス賢者＋大数,深紫アイボリー,"ancient mammoth sage with galaxy and constellation patterns etched into its thick hide, tusks engraved with ancient mystical rune-like markings, massive imposing presence with wise elder energy, deep cosmic purple and ivory white palette, high-detail Japanese RPG creature illustration, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_27,（仮）ライビャッコ,3,強・カッコいい,3,rare,白虎＋雷光,ホワイト電撃ブルー,"ancient white tiger wreathed in crackling blue lightning, white fur with dark blue stripe markings, electric energy surging around claws and body, powerful coiled ready-to-strike stance, razor-sharp gaze, high-detail Japanese RPG white tiger creature art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_28,（仮）カズスフィンクス,3,強・カッコいい,3,rare,スフィンクス＋砂金,ゴールドアンバー,"majestic sphinx guardian with sand-gold stone body, regal lion form with wise ancient face, glowing amber rune-like markings radiating across its surface, proud imposing pose, desert gold and deep amber palette, mysterious all-knowing expression, high-detail Japanese RPG sphinx creature art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_29,（仮）ヒクドラゴ,3,強・カッコいい,3,rare,氷龍＋大ひきざん,アイスブルー,"ice dragon with crystal spines and a minus symbol (−) glowing on its chest, cold blue and glacier white palette, rival to the red fire dragon but equally powerful, breath that crystallizes the air into shimmering ice shards, dramatic ice-shard effects, high-detail Japanese RPG ice dragon art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_30,（仮）クロノリュウ,3,強・カッコいい,3,rare,時計竜＋時間操作,シルバーゴールド,"majestic dragon with a full clock face on its back like a shell, wings shaped like clock gear mechanisms, the minute hand doubles as a sword, silver and gold palette with glowing clock face, time-manipulation aura, high-detail Japanese RPG dragon art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_31,（仮）クロノジン,4,神・伝説,4,legendary,時の神,ホワイトゴールド神光,"divine being composed entirely of flowing time and light, an hourglass forms its core body with golden sand flowing upward, clock-hand limbs, radiant white and holy gold palette, godly aura with time particles, the ultimate evolution of the clock dragon, extremely detailed epic JRPG legendary illustration, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_32,（仮）ゾウサン,4,神・伝説,4,legendary,象賢者＋言語と数,暖金象牙,"ancient elephant sage surrounded by levitating glowing ancient scroll fragments with illegible mystical markings, enormous wise presence, warm gold and ivory white palette, detailed ceremonial robes or armor, serene all-knowing expression, divine aura of language and mathematics, extremely detailed epic JRPG legendary illustration, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_33,（仮）ウチュウレイジュウ,4,神・伝説,4,legendary,宇宙霊獣＋銀河,コズミックブルーバイオレット,"magnificent cosmic spirit beast with a swirling galaxy and nebula visible inside its translucent body, star clusters glowing through its form, surrounded by cosmic dust and aurora-like energy trails, deep space blue and violet palette with silver and gold highlights, awe-inspiring transcendent presence, extremely detailed epic JRPG legendary cosmic creature illustration, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_34,（仮）ゼロガミ,4,神・伝説,4,legendary,零の始祖神,純白・虹光,"pure white deity of absolute zero, radiating columns of light from within, a perfect circle (the symbol of zero) forms the core of its being, rainbow prismatic light emanates from it, the origin of all numbers, transcendent divine presence, zero as the beginning of everything, ultra-detailed epic JRPG secret deity art, dramatic divine effects, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_35,（仮）インフィニタス,4,神・伝説,4,legendary,無限龍,コズミックブルーパープル,"immortal cosmic dragon with the ∞ symbol glowing brilliantly in its chest like a second heart, endless serpentine body that loops into infinity, deep cosmic blue and nebula purple palette, no beginning and no end to its form, particle trail of stars and cosmic light, ultra-detailed epic legendary dragon art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_36,（仮）ファントムキング,4,神・伝説,4,legendary,古代王の亡霊＋王冠,ディープパープル月光,"ghost of an ancient king, semi-transparent spectral form wearing a regal crown adorned with infinity (∞) symbol decorations, translucent royal robes billowing with ghostly pale energy, ancient decorative symbols drifting as ethereal particles, commanding royal presence despite being a spirit, deep purple and pale moonlight palette, ultra-detailed epic JRPG legendary phantom king illustration, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_37,（仮）カルキュロン,4,神・伝説,4,legendary,計算機械神,ブラス古代ゴールド,"ancient mechanical god constructed entirely of intricate clockwork gears and computation circuit patterns, brass and antique gold palette, multiple arms holding calculation tools, steam and precision light effects, the divine marriage of machine and mathematics, ultra-detailed epic steampunk deity JRPG art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_38,（仮）オメガサウリア,4,神・伝説,4,legendary,龍皇帝五属性,究極・全色,"supreme dragon emperor radiating all five elemental auras simultaneously (fire, water, lightning, light, and golden mathematical energy), five distinct wings each a different element, Omega (Ω) symbol on chest, the apex of all dragons, universe-scale presence within the frame, ultra-detailed epic ultimate JRPG dragon emperor art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_39,（仮）ケイサンオウ,4,神・伝説,4,legendary,算術の人型神,ゴールデン数式光,"humanoid mathematical deity whose entire body is composed of swirling golden luminous abstract symbols and light flowing like fabric, regal crown made of geometric prime shapes, serene omniscient expression, solves all problems with a gesture, light itself bends around it, ultra-detailed epic JRPG divine human-form character art, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
mon_40,（仮）グリモア,4,神・伝説,4,legendary,守護者・魔法書,深紫・エピック,"ancient grimoire that has awakened into a living divine entity, a massive ornate magical book forms its core body with a single omniscient eye opening on the cover, enormous wings made of glowing manuscript pages covered in decorative illegible ancient script patterns, the ultimate guardian of all knowledge, the being the entire game is named after, ultra-detailed epic JRPG ultimate secret boss art, dramatic energy effects, transparent background, 512x512px, centered, no written equations, no floating math text, no text overlay"
